carat,cut,color,clarity,table,x,y,z,price_new
0.75,Premium,G,VS2,58,5.85,5.79,3.59,1380
0.8,Ideal,I,VS1,56,5.94,5.87,3.72,1380
0.75,Ideal,G,SI1,55,5.87,5.8,3.63,1380
0.8,Premium,,SI1,59,5.9,5.81,3.69,1380
0.74,Ideal,I,VVS2,55,5.77,5.81,3.61,1380.5
0.81,Ideal,F,SI2,57,6.14,6.11,3.6,1380.5
0.59,Ideal,E,VVS2,55,5.38,5.43,3.35,1380.5
0.8,Ideal,F,SI2,57,5.96,6,3.67,1380.5
0.74,Ideal,E,SI2,56,5.8,5.84,3.62,1380.5
0.9,Premium,I,VS2,58,6.16,6.12,3.87,1380.5
0.74,Very Good,G,SI1,59,5.73,5.82,3.59,1381
0.73,Ideal,F,VS2,56,5.77,5.74,3.6,1381
0.73,Ideal,F,VS2,53,5.8,5.75,3.62,1381
0.8,Premium,F,SI2,58,5.98,5.94,3.68,1381
0.71,Ideal,G,VS2,54,5.72,5.76,3.58,1381
0.7,Ideal,E,VS2,58,5.73,5.76,3.49,1381
0.8,Ideal,F,SI2,59,6.01,6.07,3.62,1381
0.71,Ideal,D,SI2,56,5.73,5.69,3.56,1381
0.74,Ideal,E,SI1,54,5.8,5.83,3.62,1381
0.7,Very Good,F,VS2,63,5.64,5.61,3.47,1381
0.7,Fair,F,VS2,57,5.57,5.53,3.58,1381
0.7,Fair,F,VS2,55,5.63,5.58,3.66,1381
0.7,Premium,F,VS2,60,5.65,5.59,3.46,1381
0.91,Premium,H,SI1,56,6.09,5.97,3.7,1381.5
0.61,Very Good,D,VVS2,57,5.56,5.58,3.32,1381.5
0.91,Fair,H,SI2,57,6.11,6.09,3.93,1381.5
0.91,Fair,H,SI2,60,6.03,5.99,3.95,1381.5
0.77,Ideal,H,VS2,56,5.89,5.86,3.64,1381.5
0.71,Very Good,D,SI1,58,5.64,5.68,3.6,1382
0.71,Ideal,D,SI1,59,5.69,5.72,3.53,1382
0.7,Very Good,E,VS2,60,5.62,5.65,3.53,1382.5
0.77,Very Good,H,VS1,60,5.88,5.9,3.61,1382.5
0.63,Premium,E,VVS1,60,5.52,5.55,3.37,1382.5
0.71,Very Good,F,VS1,62,5.74,5.77,3.46,1382.5
0.71,Premium,F,VS1,59,5.69,5.73,3.53,1382.5
0.76,Ideal,H,SI1,57,5.88,5.91,3.61,1382.5
0.64,Ideal,G,VVS1,56,5.53,5.56,3.43,1383
0.71,Premium,G,VS2,57,5.78,5.75,3.51,1383
0.71,Premium,G,VS2,56,5.89,5.81,3.5,1383
0.7,Very Good,D,VS2,55,5.68,5.72,3.52,1383.5
0.7,Very Good,F,VS1,57,5.8,5.87,3.5,1383.5
0.71,Ideal,D,SI2,55,5.74,5.76,3.54,1383.5
0.7,Good,H,VVS2,64,5.62,5.65,3.5,1383.5
0.71,Very Good,G,VS1,59,5.52,5.61,3.52,1384
0.73,Very Good,D,SI1,56,5.83,5.87,3.52,1384
0.7,Very Good,D,SI1,58,5.66,5.73,3.48,1384
0.7,Ideal,E,SI1,57,5.73,5.76,3.5,1384
0.71,Premium,D,SI2,59,5.71,5.67,3.51,1384
0.74,Ideal,I,SI1,56,5.82,5.86,3.57,1384.5
0.71,Premium,D,VS2,60,5.65,5.61,3.52,1385
0.73,Premium,G,VS2,59,5.83,5.76,3.56,1385
0.76,Very Good,F,SI1,57,5.79,5.81,3.65,1385
0.76,Ideal,D,SI2,57,5.78,5.83,3.62,1385
0.71,Ideal,F,SI1,56,5.77,5.8,3.51,1385
0.73,Premium,G,VS2,58,5.87,5.82,3.55,1385
0.73,Premium,G,VS1,58,5.79,5.75,3.55,1385
0.73,Ideal,D,SI2,57,5.92,5.89,3.54,1385
0.73,Premium,G,VS2,59,5.92,5.87,3.49,1385
0.72,Very Good,H,VVS2,56,5.81,5.83,3.51,1385.5
0.73,Very Good,F,SI1,60,5.79,5.82,3.58,1385.5
0.71,Ideal,G,VS2,57,5.73,5.77,3.56,1385.5
0.79,Ideal,F,SI2,55,5.97,5.92,3.68,1385.5
0.73,Very Good,H,VVS1,59,5.83,5.89,3.54,1386
0.8,Very Good,F,SI2,57,6.01,6.03,3.67,1386
0.58,Ideal,G,VVS1,55,5.39,5.44,3.33,1386
0.58,Ideal,F,VVS1,56,5.33,5.37,3.3,1386
0.71,Good,E,VS2,61,5.8,5.88,3.46,1386
0.75,Ideal,D,SI2,56,5.85,5.89,3.6,1386.5
,Premium,D,VS2,62,5.87,5.78,3.38,1386.5
1.17,Very Good,J,I1,61,6.83,6.9,4.13,1387
0.6,Ideal,E,VS1,55,5.41,5.44,3.35,1387
0.7,Ideal,E,SI1,55,5.68,5.74,3.58,1387
0.83,Good,I,VS2,54,5.85,5.88,3.79,1387
0.74,Very Good,F,VS2,61,5.8,5.84,3.57,1387.5
0.72,Very Good,G,VS2,56.4,5.62,5.69,3.61,1388
0.71,Premium,E,VS2,58,5.74,5.68,3.58,1388
0.71,Ideal,E,VS2,57,5.79,5.62,3.55,1388
0.54,Ideal,E,VVS2,56,5.25,5.27,3.24,1388
0.54,Ideal,E,VVS2,57,5.24,5.26,3.23,1388
0.72,Ideal,G,SI1,56,5.72,5.75,3.55,1388
0.72,Ideal,G,SI1,56,5.79,5.82,3.53,1388
0.72,Good,G,VS2,60.5,5.8,5.84,3.47,1388
0.71,Ideal,G,SI1,56,5.8,5.76,3.5,1388
0.7,Very Good,D,VS1,58,5.66,5.73,3.57,1388.5
0.71,Premium,F,VS2,58,5.67,5.7,3.53,1388.5
0.71,Very Good,F,VS2,57,5.64,5.69,3.56,1388.5
0.71,Good,F,VS2,58,5.61,5.64,3.59,1388.5
0.71,Good,F,VS2,60,5.87,5.9,3.4,1388.5
0.7,Ideal,E,VS2,55,5.7,5.67,3.53,1388.5
0.7,Premium,E,VS2,60,5.71,5.64,3.47,1388.5
0.7,Premium,E,SI1,59,5.79,5.75,3.46,1388.5
0.7,Premium,E,SI1,57,5.73,5.68,3.49,1388.5
0.7,Premium,E,SI1,59,5.67,5.63,3.54,1388.5
0.7,Premium,E,SI1,57,5.73,5.68,3.48,1388.5
,Premium,E,SI1,58,5.78,5.72,3.51,1388.5
0.7,Ideal,E,SI1,57,5.76,5.7,3.52,1388.5
0.72,Premium,F,SI1,61,5.82,5.71,3.56,1388.5
0.7,Very Good,E,SI1,63,5.76,5.7,3.43,1388.5
0.7,Premium,E,SI1,58,5.71,5.68,3.49,1388.5
0.7,Premium,E,SI1,58,5.77,5.74,3.48,1388.5
0.7,Good,E,VS2,59,5.64,5.59,3.6,1388.5
0.98,Fair,H,SI2,60,6.05,5.97,4.08,1388.5
0.78,Premium,F,SI1,58,5.83,5.8,3.63,1388.5
0.7,Very Good,E,SI1,60,5.6,5.51,3.51,1388.5
0.52,Ideal,F,VVS1,55,5.19,5.22,3.19,1389
0.73,Very Good,H,VS2,56,5.82,5.84,3.55,1389.5
0.74,Ideal,E,SI1,56,5.84,5.8,3.59,1389.5
0.7,Very Good,F,VS2,,5.61,5.65,3.58,1390
0.77,Premium,G,VS2,58,5.9,5.93,3.62,1390
0.71,Ideal,F,VS2,54,5.68,5.72,3.54,1390
0.74,Ideal,G,VS1,55,5.81,5.86,3.59,1390
,Ideal,G,VS1,59,5.64,5.73,3.49,1390
1.01,Premium,F,I1,60,6.39,6.36,3.94,1390.5
0.77,Ideal,H,SI1,56,5.83,5.88,3.64,1390.5
0.78,Ideal,H,SI1,56,5.92,5.99,3.64,1390.5
0.72,Very Good,H,VS1,63,5.83,5.76,3.51,1391
0.53,Very Good,D,VVS2,64,5.34,5.37,3.08,1391
0.76,Ideal,G,VS2,56,5.9,5.94,3.63,1391
0.7,Good,E,VS1,62,5.81,5.77,3.31,1391
0.7,Premium,E,VS1,60,5.62,5.54,3.51,1391
0.75,Very Good,D,SI2,58,5.78,5.73,3.63,1391
0.72,Ideal,D,SI1,57,5.76,5.75,3.5,1391
0.72,Premium,D,SI1,59,5.73,5.69,3.58,1391
0.7,Premium,D,SI1,60,5.68,5.66,3.56,1391
0.84,Fair,G,SI1,67,6.39,6.2,3.47,1391
0.75,Premium,F,SI1,59,5.88,5.85,3.6,1391
0.52,Ideal,F,IF,55,5.14,5.18,3.21,1391.5
0.72,Very Good,F,VS2,54,5.69,5.73,3.6,1392
0.79,Very Good,H,VS1,56,5.85,5.92,3.75,1392
0.72,Very Good,F,VS2,58,5.66,5.69,3.61,1393.5
0.51,Ideal,F,VVS1,57,5.11,5.15,3.18,1393.5
0.64,Ideal,D,VS1,56,5.54,5.55,3.41,1393.5
0.7,Very Good,H,VVS1,60,5.74,5.77,3.48,1394
0.83,Very Good,I,VS1,60,6.07,6.1,3.72,1394
0.76,Ideal,I,VVS2,56,5.85,5.87,3.62,1394
0.71,Good,D,VS2,56,5.64,5.68,3.58,1394
0.77,Good,G,VS1,64,5.97,5.92,3.53,1394
0.71,Ideal,F,SI1,55,5.71,5.65,3.55,1394
1.01,Fair,E,I1,58,6.29,6.21,4.03,1394
1.01,Premium,H,SI2,59,6.31,6.22,3.93,1394
0.77,Good,F,SI1,52,5.81,5.77,3.72,1394.5
0.76,Good,E,SI1,54,5.76,5.85,3.7,1394.5
0.76,Premium,E,SI1,58,5.92,5.94,3.58,1394.5
0.76,Premium,E,SI1,58,5.82,5.86,3.61,1394.5
1.05,Very Good,J,SI2,56,6.49,6.45,4.09,1394.5
0.81,Ideal,G,SI2,56,5.97,6.01,3.69,1394.5
,Ideal,E,SI1,56,5.72,5.75,3.53,1394.5
0.55,Ideal,G,IF,57,5.28,5.3,3.22,1394.5
0.81,Good,G,SI2,61,5.94,5.99,3.64,1394.5
0.63,Premium,E,VVS2,57,5.48,5.41,3.38,1394.5
0.63,Premium,E,VVS1,60,5.55,5.52,3.37,1394.5
0.77,Premium,H,VS1,60,5.9,5.88,3.61,1394.5
1.05,Fair,J,SI2,59,6.41,6.27,4.18,1394.5
0.64,Ideal,G,IF,56,5.54,5.58,3.41,1395
0.76,Premium,I,VVS1,59,6,5.94,3.51,1395
0.83,Ideal,F,SI2,55,6.02,6.05,3.76,1395
0.71,Premium,F,VS1,62,5.77,5.74,3.46,1395
0.71,Premium,F,VS1,59,5.73,5.69,3.53,1395
0.87,Very Good,I,SI1,55.8,6.07,6.1,3.87,1395.5
0.73,Ideal,E,SI1,56,5.74,5.78,3.58,1395.5
0.71,Premium,E,SI1,59,5.83,5.86,3.46,1396
0.71,Premium,E,SI1,59,5.7,5.75,3.54,1396
0.71,Ideal,E,SI1,55,5.72,5.77,3.52,1396
0.7,Premium,F,VS1,60,5.71,5.65,3.53,1396
0.7,Premium,F,VS1,60,5.78,5.75,3.5,1396
0.76,Premium,H,VVS2,57,5.91,5.86,3.51,1396
0.7,Ideal,F,VS1,56,5.73,5.68,3.55,1396
0.79,Very Good,G,SI1,57,5.98,6.06,3.65,1396.5
0.7,Very Good,E,VS2,57,5.66,5.69,3.57,1396.5
0.7,Good,E,VS2,55,5.6,5.66,3.61,1396.5
0.76,Ideal,I,VS2,56,5.87,5.91,3.61,1396.5
0.73,Ideal,H,VS2,55,5.72,5.76,3.6,1396.5
0.79,Very Good,E,SI1,56,5.91,5.86,3.72,1397
0.71,Very Good,E,VS2,56,5.81,5.82,3.53,1397.5
0.81,Premium,I,VVS2,60,5.91,5.86,3.64,1397.5
0.81,Ideal,F,SI2,55,5.92,5.96,3.72,1397.5
0.72,Good,F,VS1,60,5.74,5.72,3.48,1397.5
0.72,Premium,D,SI2,60,5.73,5.69,3.54,1397.5
0.72,Premium,I,IF,57,5.72,5.7,3.6,1397.5
0.81,Premium,H,VS2,59,6.17,6.13,3.57,1397.5
0.72,Premium,G,VS2,57,5.73,5.65,3.58,1397.5
1,Premium,I,SI2,60,6.61,6.55,3.83,1397.5
0.73,Good,E,SI1,58,5.7,5.76,3.62,1398
0.81,Very Good,H,SI2,59,5.94,6.01,3.66,1398.5
0.81,Very Good,E,SI1,60,6.07,6.1,3.67,1398.5
0.71,Premium,D,SI1,60,5.67,5.71,3.57,1398.5
0.71,Premium,D,SI1,58,5.73,5.75,3.52,1398.5
0.71,Premium,D,SI1,60,5.74,5.69,3.52,1398.5
0.57,Ideal,F,VVS2,55,5.34,5.35,3.31,1398.5
0.51,Ideal,D,VVS1,56,5.12,5.16,3.17,1398.5
0.72,Ideal,G,VS2,58,5.72,5.75,3.55,1398.5
0.74,Ideal,H,VS1,58,5.77,5.81,3.58,1398.5
0.74,Ideal,H,VS1,56,5.81,5.82,3.58,1398.5
0.7,Fair,G,VVS1,66,5.81,5.9,3.44,1398.5
0.8,Premium,F,SI2,57,6.03,6.01,3.67,1398.5
1.01,Fair,E,SI2,60,6.19,6.05,4.13,1398.5
0.8,Very Good,H,VS2,60,5.92,5.82,3.72,1398.5
0.77,Ideal,I,VS1,59,5.87,5.91,3.62,1399
0.83,Very Good,E,SI2,62,6.19,6.25,3.61,1399.5
0.82,Ideal,F,SI2,54,5.97,6.02,3.74,1399.5
0.78,Ideal,D,SI1,57,5.91,5.86,3.64,1399.5
0.6,Very Good,G,IF,56,5.43,5.46,3.35,1400
0.9,Good,I,SI2,59,6.07,6.11,3.79,1400
0.7,Premium,E,VS1,58,5.6,5.66,3.5,1400
0.9,Very Good,I,SI2,56,6.17,6.23,3.8,1400
0.83,Ideal,G,SI1,57,5.99,6.08,3.76,1400
0.83,Ideal,G,SI1,57,6.03,6.07,3.74,1400
0.83,Very Good,H,SI1,59,5.95,6.02,3.74,1400
0.74,Premium,G,VS1,60,5.74,5.68,3.59,1400
0.79,Ideal,I,VS1,59,5.92,5.95,3.67,1400
0.61,Ideal,G,IF,56,5.43,5.45,3.39,1400
0.76,Fair,G,VS1,70,5.89,5.8,3.46,1400
0.96,Ideal,F,I1,55,6.37,6.41,3.88,1400.5
0.73,Ideal,F,VS2,55,5.8,5.76,3.61,1400.5
0.73,Premium,F,VS2,58,5.76,5.7,3.59,1400.5
0.75,Ideal,H,SI1,57,5.93,5.96,3.59,1400.5
0.71,Premium,F,VS2,58,5.7,5.67,3.53,1400.5
0.71,Good,F,VS2,60,5.9,5.87,3.4,1400.5
0.71,Good,F,VS2,58,5.64,5.61,3.59,1400.5
0.71,Premium,F,VS2,57,5.69,5.64,3.56,1400.5
1.04,Premium,G,I1,58,6.46,6.41,4,1400.5
1,Premium,J,SI2,58,6.45,6.34,3.98,1400.5
0.87,Very Good,G,SI2,58,6.19,6.23,3.72,1401
0.53,Ideal,F,IF,54,5.22,5.25,3.24,1401
0.72,Premium,E,VS2,55,5.79,5.61,3.59,1401
0.72,Premium,F,VS1,58,5.83,5.7,3.6,1401
0.7,Very Good,F,VS2,58,5.63,5.65,3.55,1401.5
0.74,Very Good,E,SI1,56,5.74,5.79,3.66,1401.5
0.71,Ideal,G,VS2,56,5.75,5.71,3.51,1401.5
0.73,Ideal,E,SI1,54,5.84,5.89,3.55,1401.5
0.7,Good,G,VS1,58,5.56,5.59,3.63,1401.5
0.71,Premium,F,VS2,58,5.7,5.67,3.56,1401.5
0.71,Premium,F,VS2,62,5.85,5.81,3.38,1401.5
0.71,Premium,G,VS1,61,5.7,5.65,3.54,1401.5
0.77,Premium,G,VS2,57,5.93,5.88,3.62,1401.5
0.71,Premium,G,VS2,60,5.81,5.77,3.47,1401.5
0.78,Premium,G,VS2,58,6.03,5.95,3.64,1401.5
0.71,Very Good,G,VS1,55,5.66,5.64,3.59,1401.5
0.91,Ideal,D,SI2,57,6.21,6.15,3.85,1401.5
0.71,Very Good,E,VS2,58,5.62,5.66,3.6,1402
0.71,Very Good,E,VS2,57,5.66,5.68,3.63,1402
0.8,Very Good,E,SI2,56,5.88,5.96,3.7,1402
0.7,Very Good,D,SI1,58,5.69,5.73,3.56,1402
0.72,Ideal,F,VS1,57,5.74,5.77,3.55,1402
0.72,Very Good,F,VS1,58,5.75,5.7,3.56,1402
0.82,Ideal,H,VS2,56,6.01,6.08,3.72,1402
0.7,Ideal,D,SI1,59,5.68,5.7,3.47,1402
0.72,Ideal,D,SI1,56,5.74,5.77,3.58,1402
0.72,Ideal,D,SI1,54,5.77,5.8,3.56,1402
0.9,Fair,I,SI1,59,5.93,5.84,3.96,1402
0.74,Premium,F,VS2,58,5.85,5.78,3.59,1402.5
0.74,Premium,F,VS2,56,5.8,5.77,3.58,1402.5
0.73,Ideal,E,SI2,58,5.77,5.81,3.58,1402.5
0.57,Fair,E,VVS1,66,5.34,5.43,3.16,1402.5
0.73,Premium,F,VS2,57,5.75,5.7,3.58,1402.5
0.72,Ideal,G,VS2,56,5.74,5.7,3.59,1402.5
0.74,Fair,F,VS2,68,5.82,5.75,3.53,1402.5
0.82,Good,G,VS2,57,5.92,5.89,3.78,1402.5
0.81,Very Good,G,SI1,60,5.89,5.94,3.69,1403
0.75,Very Good,H,VVS1,58,5.85,5.9,3.56,1403
0.7,Ideal,F,SI1,55,5.72,5.74,3.53,1403
0.71,Very Good,F,VS1,58,5.66,5.72,3.54,1403.5
0.71,Very Good,F,VS1,57,5.84,5.9,3.52,1403.5
0.93,Premium,J,SI2,57,6.21,6.19,3.84,1403.5
0.8,Very Good,H,VS2,57,5.87,5.91,3.7,1404
0.7,Very Good,F,VS1,57,5.64,5.71,3.52,1404
1,Fair,G,I1,59,6.16,6.09,4.07,1404
0.75,Very Good,G,VS2,56,5.78,5.74,3.65,1404
0.58,Ideal,E,VVS2,56,5.41,5.43,3.3,1404
0.73,Very Good,D,SI1,57,5.74,5.7,3.61,1404
0.81,Very Good,F,SI1,59,5.85,5.79,3.67,1404.5
0.81,Premium,D,SI2,57,6.15,6.05,3.61,1404.5
0.71,Premium,F,SI1,54,5.84,5.8,3.53,1404.5
1.2,Fair,F,I1,56,6.73,6.66,4.33,1404.5
0.7,Very Good,F,VS1,56,5.63,5.7,3.5,1405
0.7,Very Good,F,VS1,60,5.77,5.84,3.48,1405
0.74,Ideal,D,SI2,55,5.81,5.85,3.6,1405
0.7,Good,F,VS1,61,5.57,5.61,3.51,1405
0.8,Good,G,SI1,57,5.84,5.93,3.69,1405
0.75,Very Good,F,SI1,58,5.72,5.76,3.64,1405.5
0.83,Very Good,D,SI1,54,5.98,5.95,3.79,1405.5
1,Fair,J,VS2,59,6.14,6.07,4.01,1405.5
0.99,Fair,I,SI2,56,6.21,6.06,4.18,1405.5
0.7,Very Good,G,VS1,60,5.57,5.64,3.53,1406
0.7,Very Good,F,VS2,58,5.75,5.85,3.45,1406
,Good,E,SI1,59,5.49,5.53,3.5,1406
0.7,Very Good,F,VS2,58,5.63,5.69,3.49,1406
0.32,Premium,I,SI1,58,4.37,4.34,2.73,277
0.32,Premium,I,SI1,58,4.39,4.34,2.74,277
0.32,Ideal,I,SI1,57,4.37,4.35,2.72,277
0.32,Premium,I,SI1,59,4.39,4.36,2.67,277
0.32,Very Good,I,SI1,56,4.39,4.36,2.76,277
0.32,Ideal,I,SI1,57,4.47,4.42,2.7,277
0.3,Premium,H,SI1,59,4.31,4.29,2.62,277
0.3,Premium,H,SI1,55,4.41,4.38,2.64,277
0.3,Premium,H,SI1,58,4.28,4.24,2.68,277
0.3,Very Good,H,SI1,56,4.29,4.27,2.71,277
0.3,Good,H,SI1,55,4.26,4.2,2.7,277
0.3,Ideal,H,SI1,57,4.27,4.22,2.67,277
0.3,Very Good,H,SI1,60,4.25,4.23,2.69,277
0.32,Good,I,SI1,55,4.36,4.34,2.78,277
0.33,Ideal,H,SI2,56,4.85,4.79,2.95,277
0.29,Very Good,E,VS1,55,4.28,4.33,2.66,277.5
0.29,Very Good,E,VS1,55,4.2,4.25,2.63,277.5
0.31,Very Good,F,SI1,58,4.32,4.35,2.68,277.5
0.34,Ideal,H,VS2,56,4.47,4.5,2.76,277.5
0.34,Ideal,H,VS2,57,4.54,4.57,2.75,277.5
0.34,Ideal,I,VS1,55,4.48,4.52,2.78,277.5
0.34,Ideal,I,VS1,56,4.5,4.53,2.8,277.5
0.3,Ideal,G,VS1,56,4.29,4.31,2.68,277.5
0.29,Ideal,F,VS1,56,4.26,4.31,2.64,277.5
0.35,Ideal,G,SI1,56,4.56,4.58,2.77,277.5
0.43,Very Good,E,I1,62,4.94,5,2.9,277.5
0.32,Very Good,F,VS2,58,4.37,4.42,2.7,278
0.36,Ideal,I,VS2,56,4.54,4.57,2.82,278
0.3,Ideal,G,VS2,56,4.28,4.3,2.66,278
0.26,Ideal,E,VS1,57,4.09,4.12,2.52,278
0.7,Very Good,F,VS2,58,5.64,5.72,3.54,1406
0.7,Very Good,F,VS2,61,5.66,5.71,3.46,1406
0.71,Ideal,D,SI1,57,5.69,5.72,3.56,1406
0.99,Fair,J,SI1,61,6.72,6.67,3.68,1406
0.73,Premium,E,VS2,60,5.92,5.89,3.46,1406
0.51,Ideal,F,VVS1,57,5.15,5.11,3.18,1406
0.91,Premium,G,SI2,58,6.3,6.29,3.77,1406.5
0.84,Very Good,E,SI1,55,6,5.95,3.79,1406.5
0.91,Good,I,VS2,58,6.09,6.05,3.9,1406.5
0.76,Premium,E,SI1,59,5.86,5.81,3.63,1407
0.76,Ideal,E,SI1,57,5.88,5.85,3.62,1407
0.75,Premium,E,SI1,59,5.86,5.83,3.57,1407
0.55,Very Good,D,VVS1,56,5.23,5.27,3.23,1407.5
